=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2011.06.08 17:04:38 =~=~=~=~=~=~=~=~=~=~=~=
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1501, Data: 5,1,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1502, Data: 5,2,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1503, Data: 5,3,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1504, Data: 5,4,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1505, Data: 5,5,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1506, Data: 5,6,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1507, Data: 5,7,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1508, Data: 5,8,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1509, Data: 5,9,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1510, Data: 5,10,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1511, Data: 5,11,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1512, Data: 5,12,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1513, Data: 5,13,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1514, Data: 5,14,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1515, Data: 5,15,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1516, Data: 5,16,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1517, Data: 5,17,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1518, Data: 5,18,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1519, Data: 5,19,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1520, Data: 5,20,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1521, Data: 5,21,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1522, Data: 5,22,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1523, Data: 5,23,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1524, Data: 5,24,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1525, Data: 5,25,0,u,
Network Origin: 05, MAC Source: 013A204066A3A6, Pkts received: 1526, Data: 5,26,0,u,
